UF,Município,Foco,Registro,Protocolo,COBRADE,Status,População,DH_Mortos,DH_Feridos,DH_Enfermos,DH_Desabrigados,DH_Desalojados,DH_Desaparecidos,DH_Outros Afetados,DM_Unidades Habitacionais Danificadas,DM_Unidades Habitacionais Destruídas,DM_Unidades Habitacionais Valor,DM_Instalações públicas de saúde Danificadas,DM_Instalações públicas de saúde Destruídas,DM_Instalações públicas de saúde Valor,DM_Instalações públicas de ensino Danificadas,DM_Instalações públicas de ensino Destruídas,DM_Instalações públicas de ensino Valor,DM_Instalações públicas prestadoras de outros serviços Danificadas,DM_Instalações públicas prestadoras de outros serviços Destruídas,DM_Instalações públicas prestadoras de outros serviços Valor,DM_Instalações públicas de uso comunitário Danificadas,DM_Instalações públicas de uso comunitário Destruídas,DM_Instalações públicas de uso comunitário Valor,DM_Obras de infraestrutura pública Danificadas,DM_Obras de infraestrutura pública Destruídas,DM_Obras de infraestrutura pública Valor,DA_Poluição ou contaminação da água,DA_Poluição ou contaminação do ar,DA_Poluição ou contaminação do solo,DA_Diminuição ou exaurimento hídrico,"DA_Incêndios em parques, APA's ou APP's","PEPL_Assistência médica, saúde pública e atendimento de emergências médicas (R$)",PEPL_Abastecimento de água potável (R$),PEPL_Esgoto de águas pluviais e sistema de esgotos sanitários (R$),PEPL_Sistema de limpeza urbana e de recolhimento e destinação do lixo (R$),PEPL_Sistema de desinfestação/desinfecção do habitat/controle de pragas e vetores (R$),PEPL_Geração e distribuição de energia elétrica (R$),PEPL_Telecomunicações (R$),"PEPL_Transportes locais, regionais e de longo curso (R$)","PEPL_Distribuição de combustíveis, especialmente os de uso doméstico (R$)",PEPL_Segurança pública (R$),PEPL_Ensino (R$),PEPR_Agricultura (R$),PEPR_Pecuária (R$),PEPR_Indústria (R$),PEPR_Comércio (R$),PEPR_Serviços (R$),,Franco da Rocha,Vizinhas
SP,Monte Mor,Tirar da analise,27/12/2024,SP-F-3531803-13214-20241226,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,48971,0,0,0,160,240,0,5000,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,5,0,5000000.0,,,,,,,,,,,,,,,,,,,,,,,,
SP,Monteiro Lobato,Tirar da analise,02/02/2023,SP-F-3531704-13214-20230124,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,4123,0,0,0,1,0,0,173,60,0,300000.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,5,0,5550000.0,,,,,,,,,,,,,,,,,,,,,,,,
SP,Monteiro Lobato,Tirar da analise,05/03/2024,SP-F-3531704-13214-20240301,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,4123,0,1,0,0,800,0,250,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,3,3,1.06E7,,,,,,,,,,,,,,,,,,,,,,,,
SP,Morro Agudo,Tirar da analise,02/02/2023,SP-F-3531902-13214-20230127,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,29127,0,0,0,0,3,0,3960,0,1,200000.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,4,0,950000.0,,,,,,,,,,,,,,,,,,,,,,,,
SP,Morro Agudo,Tirar da analise,02/02/2023,SP-F-3531902-13214-20230124,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Registro,29127,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
SP,Morungaba,Tirar da analise,06/01/2023,SP-F-3532009-12200-20230104,12200 - Enxurradas,Reconhecido,11775,0,0,0,0,0,0,240,1,0,12000.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,3,1,753000.0,,,,,,,,,,,,,,,,,,,,,,,,
SP,Natividade da Serra,Tirar da analise,23/02/2023,SP-F-3532306-13214-20230219,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,6681,0,1,0,2,7,0,3000,16,1,2380000.0,0,0,0.0,1,0,45000.0,0,0,0.0,0,0,0.0,3,17,"1,46E+16",,,,,,,,,,,,,,,,,,,,,,,,
SP,Nazaré Paulista,Tirar da analise,05/05/2025,SP-F-3532405-12200-20250318,12200 - Enxurradas,Registro,16413,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
SP,Novo Horizonte,Tirar da analise,26/12/2024,SP-F-3533502-13214-20241221,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Registro,36612,0,0,0,0,0,0,0,1,0,20000.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,3,0,15000.0,,,,,,,,,,,,,,,,,,,,,,,,
SP,Osasco,Tirar da analise,18/02/2020,SP-F-3534401-13214-20200210,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,666469,1,2,0,53,1424,0,499000,112,317,4118400.0,0,0,0.0,4,0,228040.0,0,0,0.0,0,0,0.0,12,0,"4,19E+17",,,,,,0.0,0.0,1386115.65,209497.0,0.0,0.0,0.0,188630.0,0.0,198600.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
